Date1 girl,Date1 boy,Date2 girl,Date2 boy,Date3 girl,Date3 boy,Date4 girl,Date4 boy,Date5 girl,Date5 boy,Date6 girl,Date6 boy,Date7 girl,Date7 boy,Date8 girl,Date8 boy,Date9 girl,Date9 boy,Date10 girl,Date10 boy,Date11 girl,Date11 boy,Date12 girl,Date12 boy
0.98562,1.008371,0.727975,0.33943,0.146054,0.597187,0.101207,0.371452,0.070465,0.543355,0.335668,0.605851,0.080714,1.001906,0.070469,0.447023,0.902284,0.248488,0.106338,0.406035,0.970128,0.363788,1.255837,0.110161
1.071464,1.045518,0.911184,0.336868,0.114025,0.581816,0.107612,0.372733,0.08712,0.56513,0.342074,0.628906,0.08712,1.18507,0.073031,0.449585,0.848475,0.330464,0.116587,0.455989,0.971409,0.431679,1.254556,0.111442
1.102214,0.896998,0.893247,0.338149,0.111462,0.49215,0.107612,0.371452,0.094807,0.739328,0.315169,0.655805,0.112744,1.240216,0.07175,0.449585,0.845913,0.363767,0.097369,0.514909,0.976534,0.367631,1.24687,0.111442
1.017652,0.890593,0.802284,0.338149,0.107619,0.829038,0.106331,0.371452,0.085839,0.579219,0.315169,0.66349,0.099932,1.254306,0.070469,0.444461,0.849756,0.292038,0.097369,0.498258,0.975253,0.358665,1.237903,0.112723
1.01637,0.888031,0.797159,0.338149,0.107619,0.840567,0.107612,0.376575,0.080714,0.56513,0.313888,0.676298,0.084558,1.223565,0.069188,0.444461,0.827976,0.283072,0.097369,0.423967,0.977815,0.354822,1.232779,0.137061
1.034308,0.881626,0.799721,0.334307,0.110181,0.84441,0.10505,0.375294,0.079433,0.557445,0.310045,0.502367,0.085839,1.110849,0.070469,0.44318,0.797228,0.28051,0.093526,0.425248,0.982939,0.347136,1.225093,0.152432
1.045839,0.880345,0.79844,0.338149,0.105056,0.846972,0.108894,0.374014,0.078152,0.557445,0.312607,0.46266,0.08712,1.037839,0.070469,0.44318,0.751106,0.275387,0.097369,0.431653,0.977815,0.348417,1.230217,0.129375
1.053527,0.880345,0.794596,0.335588,0.103775,0.84441,0.10505,0.376575,0.075589,0.543355,0.311326,0.458818,0.088401,0.959706,0.070469,0.444461,0.719076,0.272825,0.097369,0.440619,0.980377,0.348417,1.232779,0.120409
1.066339,0.881626,0.793315,0.334307,0.106338,0.850815,0.107612,0.377856,0.076871,0.545917,0.311326,0.456256,0.089682,0.977638,0.067906,0.444461,0.721639,0.274106,0.094807,0.440619,0.991907,0.35226,1.225093,0.119128
1.075308,0.880345,0.788191,0.334307,0.107619,0.848253,0.108894,0.381699,0.076871,0.53567,0.312607,0.460099,0.08712,1.177454,0.065344,0.444461,0.739575,0.25105,0.097369,0.44318,0.991907,0.349698,1.228936,0.116566
1.080433,0.881626,0.790753,0.334307,0.098651,0.848253,0.10505,0.380418,0.073027,0.53567,0.312607,0.457537,0.085839,1.178735,0.069188,0.444461,0.765198,0.245927,0.097369,0.440619,1.011124,0.348417,1.217406,0.117847
1.089402,0.880345,0.793315,0.334307,0.101213,0.846972,0.107612,0.381699,0.074308,0.533108,0.313888,0.461379,0.085839,1.176173,0.066625,0.44318,0.776729,0.242084,0.094807,0.449585,0.999594,0.348417,1.217406,0.116566
1.085558,0.876503,0.807408,0.334307,0.099932,0.840567,0.106331,0.38298,0.073027,0.534389,0.315169,0.461379,0.08712,1.177454,0.067906,0.44318,0.745981,0.242084,0.097369,0.440619,1.004718,0.345855,1.223812,0.116566
1.082996,0.880345,0.803565,0.334307,0.101213,0.835443,0.106331,0.38298,0.073027,0.533108,0.312607,0.460099,0.084558,1.171049,0.065344,0.44318,0.743418,0.244646,0.097369,0.438057,1.008561,0.343293,1.227655,0.116566
